message,label
Yo! How's the new job treating you?,ham
Can we push our meeting to next week?,ham
'Sup? Wanna grab some grub later?,ham
Increase your home's value. Free consultations.,spam
Party at mine on Friday. Dress fancy!,ham
That DIY trick you showed? Worked wonders!,ham
Elevate your style quotient. Celebrity stylist sessions open.,spam
You up for a beach day this weekend?,ham
Have you spoken to Sam lately? He's not replying.,ham
Feel the adrenaline! Skydiving offers inside.,spam
Be the envy of everyone! Exclusive jewelry sale.,spam
Can't decide on a dress. Send options.,ham
Seriously need a vacation. Plans?,ham
Drop 3 dress sizes in 2 weeks! Order now.,spam
"Hey, sorry about earlier. Bad day, didn't mean to snap.",ham
Hey! How was your day?,ham
Be a winner! Enter our lottery to win big.,spam
You were right about that song. Can't stop listening!,ham
Triple your investments in a month. Join our webinar.,spam
This gadget is the future! Get yours before anyone else.,spam
"Surprise! You've earned loyalty points. Shop more, save more.",spam
"You were right, that series is mind-blowing!",ham
Ready for a change? Top life coaches inside.,spam
Coffee tomorrow? Need to hear all about your trip.,ham
Boost your confidence! Attend our personality development seminar.,spam
Yo! How's it hanging? Let's catch up soon.,ham
Pre-approved car loan. Grab the deal now!,spam
"Need money fast? Quick loan, no hassle.",spam
Unlock secrets to a larger inheritance. Click to find out.,spam
Cherish moments. Exclusive deals on honeymoon packages.,spam
Your dream car is just a click away. Exclusive deals!,spam
Kudos on the presentation. You nailed it!,ham
Time's running out! Grab your mystery gift box.,spam
Holiday bonanza! All-inclusive packages at 70% off.,spam
Unlock special bonuses by signing up for our VIP club.,spam
Join our exclusive webinar. Learn to earn.,spam
Limited-time offer: Buy 1 get 2 on all products.,spam
Attention! Protect yourself from data breaches.,spam
Get a free trial of our award-winning app.,spam
Change your life in 10 days. Join our challenge.,spam
Want flawless skin? Try our organic serum.,spam
How was your vacation? Share some pics!,ham
New gym opened up. Let's get those gains!,ham
Shocking revelation: Celeb secrets unveiled. Click NOW.,spam
Let's organize a surprise for John's birthday.,ham
Secret method! Turn back the clock on aging.,spam
Mom called. Can you pick up groceries?,ham
Saw your ex at the mall today. Awkward.,ham
Turn your hobby into cash. Learn how!,spam
"Hey, how have you been? It's been a while.",ham
Super sale! 80% off on all fashion brands.,spam
Received your gift. It's perfect. Thank you!,ham
"Ladies, enjoy every moment. Discover our new product.",spam
Your gift card is about to expire.,spam
Remember that prank we pulled? Good times.,ham
"Ugh, can't find my glasses. Seen them?",ham
How's the renovation coming along? Need help?,ham
Picked up a new hobby. Guess what? You'll be surprised!,ham
Unlock mega deals and shop till you drop.,spam
Dazzle with our newest jewelry collection. 70% off today.,spam
Don't forget to grab milk on your way back.,ham
"Hey, it's your lucky day! Spin the wheel and win.",spam
Urgent: Update your billing details to avoid charges.,spam
Massive toy sale! Delight your kids today.,spam
Triple your savings! Investment secrets unveiled.,spam
Did you check out that new bookstore?,ham
You're a winner! Click to claim your iPhone.,spam
Dream lifestyle ahead. Top deals on luxury items.,spam
Act fast! Limited edition gadgets at huge discounts.,spam
Wanna go hiking this weekend? The weather's perfect.,ham
You left your scarf at my place. Want me to drop it?,ham
Please send over the presentation slides.,ham
Wanna work from your bed? Make $$$ today. No cap.,spam
Secure your status. Personal branding experts onboard.,spam
Lowkey wanna binge-watch some old shows tonight.,ham
Your dentist appointment's tomorrow at 2 PM.,ham
Multiply your earnings! Join our investment club.,spam
Passionate encounters in your city. Click here.,spam
Attention! Important update about your subscription.,spam
Got the concert tickets! Can't wait.,ham
Boost your brain power! Genius pills inside.,spam
"Make $5,000 from home. Ask me how!",spam
LMAO! That TikTok you shared? Made my day.,ham
Feeling kinda blue. Coffee tomorrow?,ham
Secure your future. Best insurance deals inside.,spam
Your mom called. She wants you to pick up some groceries.,ham
Your dream car is waiting. Massive discounts.,spam
Your stars have aligned! Free horoscope reading inside.,spam
Turn your hobby into income. Find out how.,spam
